Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
23-Aug-2019,155.850000,-5.650000,-3.498452%,163.710000,155.270000,163.953000,"12,548,865","2,010,312,810.664800"
16-Aug-2019,161.500000,-1.970000,-1.205114%,163.020000,155.630000,167.880000,"16,711,748","2,688,941,282.222800"
09-Aug-2019,163.470000,-7.080000,-4.151275%,168.950000,158.040000,169.020000,"17,225,277","2,809,341,196.020100"
02-Aug-2019,170.550000,-3.430000,-1.971491%,173.830000,169.810000,178.023600,"12,438,028","2,174,778,861.528200"
26-Jul-2019,173.980000,+1.370000,+0.793697%,172.810000,170.570000,187.720000,"19,276,038","3,431,954,722.034500"
19-Jul-2019,172.610000,-0.730000,-0.421138%,173.380000,171.210000,177.250000,"13,637,797","2,378,144,814.925600"
12-Jul-2019,173.340000,+1.340000,+0.779070%,169.920000,164.290000,173.360000,"15,459,162","2,596,912,106.807300"
05-Jul-2019,172.000000,-1.340000,-0.773047%,175.460000,169.725000,175.780000,"6,574,841","1,141,215,809.946400"
28-Jun-2019,173.340000,-0.010000,-0.005769%,173.350000,170.650000,174.370000,"12,576,904","2,173,134,344.497200"
21-Jun-2019,173.350000,+6.660000,+3.995441%,167.100000,166.456700,174.560000,"16,128,943","2,770,638,848.559900"
14-Jun-2019,166.690000,+0.080000,+0.048016%,168.110000,166.050000,170.360000,"11,511,954","1,939,841,894.624300"
07-Jun-2019,166.610000,+6.860000,+4.294210%,159.750000,159.320000,167.090000,"16,235,077","2,652,828,623.574700"
31-May-2019,159.750000,-6.340000,-3.817208%,166.800000,159.630000,166.990000,"14,544,895","2,355,932,195.442300"
24-May-2019,166.090000,-3.000000,-1.774203%,167.960000,164.590000,170.760000,"19,224,926","3,213,495,732.316200"
17-May-2019,169.090000,-6.770000,-3.849653%,173.935000,168.430000,176.970000,"21,580,985","3,735,219,784.931300"
10-May-2019,175.860000,-9.360000,-5.053450%,182.040000,173.010000,183.105500,"25,034,206","4,467,314,958.838800"
